Curs acadèmic,Any,Codi Oferta,Nom de l’Oferta,Tipus d’estudi,Sigles Universitat responsable,Via d’accés,Nota de tall,Municipi,Nombre de places
2023-2024,2023,837,Medicina,Grau,UdG,Pau/cfgs/FP,"12,676",Girona,92
2023-2024,2023,840,Matemàtiques,Grau,UAB,Pau/cfgs/FP,"12,268",Cerdanyola del Vallès,60
2023-2024,2023,842,Comunicació Audiovisual,Grau,UPF,Pau/cfgs/FP,"12,020",Barcelona,80
2023-2024,2023,872,Biotecnologia,Grau,UdL,Pau/cfgs/FP,"10,503",Lleida,50
2023-2024,2023,886,Comunicació Audiovisual,Grau,URV,Pau/cfgs/FP,"10,014",Tarragona,45
2023-2024,2023,890,Biotecnologia,Grau,URV,Pau/cfgs/FP,"11,067",Tarragona,40
2023-2024,2023,909,Biotecnologia,Grau,UAB,Pau/cfgs/FP,"11,530",Cerdanyola del Vallès,80
2023-2024,2023,920,Biotecnologia,Grau,UB,Pau/cfgs/FP,"11,812",Barcelona,80
2023-2024,2023,927,Economia,Grau,UPF,Pau/cfgs/FP,"10,800",Barcelona,170
2023-2024,2023,948,Psicologia,Grau,URV,Pau/cfgs/FP,"9,502",Tarragona,125
2023-2024,2023,955,Medicina,Grau,URV,Pau/cfgs/FP,"12,768",Reus,137
2023-2024,2023,983,Enginyeria Electrònica Industrial i Automàtica,Grau,UdG,Pau/cfgs/FP,"6,316",Girona,50
2023-2024,2023,984,Enginyeria Mecànica,Grau,UdG,Pau/cfgs/FP,"6,742",Girona,90
2023-2024,2023,994,Biotecnologia,Grau,UdG,Pau/cfgs/FP,"10,422",Girona,60
2023-2024,2023,1040,Enginyeria Mecànica,Grau,UPC,Pau/cfgs/FP,"9,136",Barcelona/Sant Adrià de Besòs,235
2023-2024,2023,1046,Matemàtiques,Grau,UPC,Pau/cfgs/FP,"12,925",Barcelona,75
2023-2024,2023,1058,Història,Grau,UB,Pau/cfgs/FP,"5,000",Barcelona,255
2023-2024,2023,1060,Geologia,Grau,UB,Pau/cfgs/FP,"5,000",Barcelona,60
2023-2024,2023,1061,Enginyeria Informàtica,Grau,UB,Pau/cfgs/FP,"10,362",Barcelona,70
2023-2024,2023,1067,Psicologia,Grau,UB,Pau/cfgs/FP,"10,084",Barcelona,432
2023-2024,2023,1073,Farmàcia,Grau,UB,Pau/cfgs/FP,"11,192",Barcelona,340
