Curs,Tipus d'estudi,Tipus d'universitat,Universitat,Tipus de centre,Nacionalitat,Sexe,Comarca del centre,Nou accés,Matrícula,Matrícula ETC,Titulats
2023,doctorat,PÚBLICA,UAB,Integrat,Espayolas,DONA,Barcelonès,8,40,na,*
2023,doctorat,PÚBLICA,UAB,Integrat,Espayolas,DONA,Tarragonès,0,*,na,0
2023,doctorat,PÚBLICA,UAB,Integrat,Espayolas,DONA,Vallès Occidental,322,1598,na,240
2023,doctorat,PÚBLICA,UAB,Integrat,Espayolas,HOME,Barcelonès,*,12,na,*
2023,doctorat,PÚBLICA,UAB,Integrat,Espayolas,HOME,Vallès Occidental,281,1297,na,173
2023,doctorat,PÚBLICA,UAB,Integrat,Estrangers,DONA,Barcelonès,9,36,na,*
2023,doctorat,PÚBLICA,UAB,Integrat,Estrangers,DONA,Tarragonès,*,5,na,*
2023,doctorat,PÚBLICA,UAB,Integrat,Estrangers,DONA,Vallès Occidental,223,944,na,128
2023,doctorat,PÚBLICA,UAB,Integrat,Estrangers,HOME,Barcelonès,*,10,na,*
2023,doctorat,PÚBLICA,UAB,Integrat,Estrangers,HOME,Vallès Occidental,217,816,na,98
2023,doctorat,PÚBLICA,UB,Adscrit,Espayolas,DONA,Barcelonès,0,*,na,0
2023,doctorat,PÚBLICA,UB,Adscrit,Espayolas,HOME,Barcelonès,0,*,na,0
2023,doctorat,PÚBLICA,UB,Adscrit,Estrangers,DONA,Barcelonès,0,*,na,0
2023,doctorat,PÚBLICA,UB,Integrat,Espayolas,DONA,Barcelonès,437,2052,na,269
2023,doctorat,PÚBLICA,UB,Integrat,Espayolas,DONA,Vallès Occidental,*,14,na,0
2023,doctorat,PÚBLICA,UB,Integrat,Espayolas,HOME,Barcelonès,324,1537,na,233
2023,doctorat,PÚBLICA,UB,Integrat,Espayolas,HOME,Vallès Occidental,*,9,na,*
2023,doctorat,PÚBLICA,UB,Integrat,Estrangers,DONA,Barcelonès,226,1056,na,138
2023,doctorat,PÚBLICA,UB,Integrat,Estrangers,DONA,Vallès Occidental,*,8,na,*
2023,doctorat,PÚBLICA,UB,Integrat,Estrangers,HOME,Barcelonès,192,808,na,95
2023,doctorat,PÚBLICA,UB,Integrat,Estrangers,HOME,Vallès Occidental,*,*,na,0
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,DONA,Barcelonès,*,13,na,*
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,DONA,Gironès,62,305,na,31
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,DONA,Vallès Occidental,*,*,na,0
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,HOME,Barcelonès,*,*,na,0
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,HOME,Gironès,58,276,na,50
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,HOME,Vallès Occidental,0,*,na,0
2023,doctorat,PÚBLICA,UdG,Integrat,Estrangers,DONA,Barcelonès,*,11,na,*
2023,doctorat,PÚBLICA,UdG,Integrat,Estrangers,DONA,Gironès,35,151,na,16
2023,doctorat,PÚBLICA,UdG,Integrat,Estrangers,HOME,Barcelonès,0,5,na,0
2023,doctorat,PÚBLICA,UdG,Integrat,Estrangers,HOME,Gironès,41,154,na,21
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,DONA,Osona,9,31,na,*
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,DONA,Segrià,60,293,na,49
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,DONA,Tarragonès,*,*,na,*
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,DONA,Vallès Occidental,0,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,HOME,Osona,*,9,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,HOME,Segrià,33,199,na,36
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,HOME,Tarragonès,*,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,HOME,Vallès Occidental,0,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,DONA,Barcelonès,0,*,na,*
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,DONA,Osona,0,*,na,*
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,DONA,Segrià,26,108,na,15
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,DONA,Tarragonès,0,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,DONA,Vallès Occidental,*,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,HOME,Barcelonès,0,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,HOME,Osona,0,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,HOME,Segrià,23,144,na,16
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,HOME,Vallès Occidental,*,*,na,0
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,DONA,Bages,*,8,na,*
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,DONA,Baix Llobregat,0,*,na,*
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,DONA,Barcelonès,65,264,na,39
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,DONA,Vallès Occidental,5,24,na,6
